link_id,tmc_corridor_name,link_type_name,from_node_id,to_node_id,meso_link_id,from_cell_code,lanes,length,free_speed_kmph,free_speed_mph,FFTT,time_period,inflow_volume,volume,CA,CD,density,queue,queue_ratio,discharge_cap,TD_free_flow_travel_time,waiting_time_in_sec,speed,geometry,notes
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0700:00.000_0701:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0701:00.000_0702:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0702:00.000_0703:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0703:00.000_0704:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0704:00.000_0705:00.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0705:00.000_0706:00.000,2.000,0.000,2.000,0.000,0.342,2.000,0.001,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0706:00.000_0707:00.000,1.000,1.000,3.000,1.000,0.342,2.000,0.001,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0707:00.000_0708:00.000,1.000,1.000,4.000,2.000,0.342,2.000,0.001,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0708:00.000_0709:00.000,1.000,2.000,5.000,4.000,0.171,1.000,0.001,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0709:00.000_0710:00.000,1.000,1.000,6.000,5.000,0.171,1.000,0.001,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
1,network_wide,,1,3,-1,,3.0,1950.400,96.540,60.000,1.212,0710:00.000_0711:00.000,1.000,1.000,7.000,6.000,0.171,1.000,0.001,95.000,1.212,0.000,96.540,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",simulation-based
