first_column,route_seq_id,o_zone_id,d_zone_id,o_super_zone_index,d_super_zone_index,od_pair_key,information_type,mode_type,demand_period,volume,distance_km,distance_mile,travel_time,FFTT,co2,nox,OD_based_UE_relative_gap_compared_to_least_time_path_travel_time,path_based_UE_gap,path_based_relative_UE_gap,preload_volume_from_route_input_file,ODME_volume_before,ODME_volume_after,ODME_volume_diff,SIMU_volume,SIMU_travel_time,toll,number_of_nodes,node_sequence,link_id_sequence,geometry,link_special_flag_sequence,sequential_link_delay,sequential_link_FFTT,DTM_OD_impact,DTM_path_impact,DTM_#_of_lane_closure_links,lane_closure_link_vector,DTM_new_path_generated,DTM_volume_before,DTM_volume_after,DTM_volume_diff, DTM_TT_0,DTM_Vol_0,
0,1,1,2,0,1,1->2,0,auto,am,72.0000,18.6107,11.5666,11.5675,11.5666,4.007187,0.001067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,72,390.1520,0.0000,12,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.098093 33.668220, -112.079717 33.668347, -112.062351 33.668466, -112.046196 33.668578, -112.038642 33.662300, -112.029867 33.655286)",,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;,1.212;1.176;1.129;1.292;1.175;1.280;1.059;1.001;0.931;0.614;0.699;,0,,,,,,,,,-1.000000,0.000000,
0,2,1,42,0,3,1->42,0,auto,am,1.0000,10.0035,6.2172,6.1995,6.1992,2.147653,0.000572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,6.1995,0.0000,7,1;3;4;5;6;7;42;,1;2;3;4;5;60;,"LINESTRING (-112.216413 33.653927, -112.203112 33.667556, -112.182704 33.667637, -112.163116 33.667772, -112.140701 33.667926, -112.120306 33.668067, -112.119622 33.671412)",,0.000;0.000;0.000;0.000;0.000;0.000;,1.212;1.176;1.129;1.292;1.175;0.216;,0,,,,,,,,,-1.000000,0.000000,
0,3,42,43,3,4,42->43,0,auto,am,1.0000,4.1632,2.5874,2.3884,2.3884,0.827417,0.000220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,2.3884,0.0000,7,42;7;38;33;39;23;43;,61;56;40;42;58;62;,"LINESTRING (-112.119622 33.671412, -112.120306 33.668067, -112.117523 33.662469, -112.115041 33.654688, -112.115354 33.646833, -112.117340 33.639870, -112.116949 33.634858)",,0.000;0.000;0.000;0.000;0.000;0.000;,0.216;0.386;0.512;0.500;0.455;0.319;,0,,,,,,,,,-1.000000,0.000000,
0,4,43,2,4,1,43->2,0,auto,am,1.0000,9.3917,5.8370,5.8104,5.8104,2.012899,0.000536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,5.8104,0.0000,9,43;23;24;25;26;27;28;29;2;,63;21;22;23;24;25;26;27;,"LINESTRING (-112.116949 33.634858, -112.117340 33.639870, -112.102573 33.639986, -112.087630 33.640089, -112.072485 33.640193, -112.059965 33.640279, -112.046435 33.640372, -112.038842 33.646568, -112.029867 33.655286)",,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;,0.319;0.851;0.861;0.873;0.722;0.780;0.611;0.793;,0,,,,,,,,,-1.000000,0.000000,
