first_column,district_seq_id,scenario_name,demand_period,mode_type,od_volume,total_distance_km,total_distance_mile,total_travel_time_min,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,zone_vector,geometry
0,0,2025,am,auto,75,1363.53,847.438,847.259,18.1804,11.2992,11.2968,1;2;4;42;43;,"POLYGON ((-112.183 33.6676,-112.12 33.6714,-112.03 33.6553,-112.117 33.6349,-112.216 33.6539,-112.183 33.6676,))"
0,0,2025,am,hov2,0,0,0,0,0,0,0,1;2;4;42;43;,"POLYGON ((-112.183 33.6676,-112.12 33.6714,-112.03 33.6553,-112.117 33.6349,-112.216 33.6539,-112.183 33.6676,))"
0,0,2025,am,hov3,0,0,0,0,0,0,0,1;2;4;42;43;,"POLYGON ((-112.183 33.6676,-112.12 33.6714,-112.03 33.6553,-112.117 33.6349,-112.216 33.6539,-112.183 33.6676,))"
0,0,2025,am,trk,0,0,0,0,0,0,0,1;2;4;42;43;,"POLYGON ((-112.183 33.6676,-112.12 33.6714,-112.03 33.6553,-112.117 33.6349,-112.216 33.6539,-112.183 33.6676,))"
0,0,2025,am,com,0,0,0,0,0,0,0,1;2;4;42;43;,"POLYGON ((-112.183 33.6676,-112.12 33.6714,-112.03 33.6553,-112.117 33.6349,-112.216 33.6539,-112.183 33.6676,))"
0,0,2025,am,apv,0,0,0,0,0,0,0,1;2;4;42;43;,"POLYGON ((-112.183 33.6676,-112.12 33.6714,-112.03 33.6553,-112.117 33.6349,-112.216 33.6539,-112.183 33.6676,))"
