link_seq_id,link_id,base_s0_link_type,from_node_id,to_node_id,geometry,distance_km,distance_mile,fftt,free_speed_base_mode,link_specific_speed_diff,capacity_base_mode,link_specific_capacity_diff,meso_link_id,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,lanes_s0,link_type_s0,free_speed_s0,capacity_s0,lanes_p1_s0_auto,lanes_p1_s0_hov2,lanes_p1_s0_hov3,lanes_p1_s0_trk,lanes_p1_s0_com,lanes_p1_s0_apv,VOL_p1_s0_auto,VOL_p1_s0_hov2,VOL_p1_s0_hov3,VOL_p1_s0_trk,VOL_p1_s0_com,VOL_p1_s0_apv,MEU_p1_s0_auto,MEU_p1_s0_hov2,MEU_p1_s0_hov3,MEU_p1_s0_trk,MEU_p1_s0_com,MEU_p1_s0_apv,CAP_p1_s0_auto,CAP_p1_s0_hov2,CAP_p1_s0_hov3,CAP_p1_s0_trk,CAP_p1_s0_com,CAP_p1_s0_apv,PEN_p1_s0_auto,PEN_p1_s0_hov2,PEN_p1_s0_hov3,PEN_p1_s0_trk,PEN_p1_s0_com,PEN_p1_s0_apv,DOC_p1_s0_auto,DOC_p1_s0_hov2,DOC_p1_s0_hov3,DOC_p1_s0_trk,DOC_p1_s0_com,DOC_p1_s0_apv,TT_p1_s0_auto,TT_p1_s0_hov2,TT_p1_s0_hov3,TT_p1_s0_trk,TT_p1_s0_com,TT_p1_s0_apv,CO2_p1_s0_auto,CO2_p1_s0_hov2,CO2_p1_s0_hov3,CO2_p1_s0_trk,CO2_p1_s0_com,CO2_p1_s0_apv,NOX_p1_s0_auto,NOX_p1_s0_hov2,NOX_p1_s0_hov3,NOX_p1_s0_trk,NOX_p1_s0_com,NOX_p1_s0_apv,VOL_am_2025_auto,MEU_am_2025_auto,CAP_am_2025_auto,PEN_am_2025_auto,DOC_am_2025_auto,TT_am_2025_auto,CO2_am_2025_auto,NOX_am_2025_auto,VOL_am_2025_hov2,MEU_am_2025_hov2,CAP_am_2025_hov2,PEN_am_2025_hov2,DOC_am_2025_hov2,TT_am_2025_hov2,CO2_am_2025_hov2,NOX_am_2025_hov2,VOL_am_2025_hov3,MEU_am_2025_hov3,CAP_am_2025_hov3,PEN_am_2025_hov3,DOC_am_2025_hov3,TT_am_2025_hov3,CO2_am_2025_hov3,NOX_am_2025_hov3,VOL_am_2025_trk,MEU_am_2025_trk,CAP_am_2025_trk,PEN_am_2025_trk,DOC_am_2025_trk,TT_am_2025_trk,CO2_am_2025_trk,NOX_am_2025_trk,VOL_am_2025_com,MEU_am_2025_com,CAP_am_2025_com,PEN_am_2025_com,DOC_am_2025_com,TT_am_2025_com,CO2_am_2025_com,NOX_am_2025_com,VOL_am_2025_apv,MEU_am_2025_apv,CAP_am_2025_apv,PEN_am_2025_apv,DOC_am_2025_apv,TT_am_2025_apv,CO2_am_2025_apv,NOX_am_2025_apv,
11,11,motorway,1,14,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",0.768430,0.477582,0.477582,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.478,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.478,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.478,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.478,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.478,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.478,0.000,0.000,
12,12,motorway,14,15,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",0.633210,0.393543,0.393543,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.394,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.394,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.394,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.394,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.394,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.394,0.000,0.000,
13,13,motorway,15,16,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",0.680980,0.423232,0.423232,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.423,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.423,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.423,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.423,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.423,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.423,0.000,0.000,
14,14,motorway,16,17,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",1.067520,0.663468,0.663468,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.663,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.663,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.663,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.663,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.663,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.663,0.000,0.000,
15,15,motorway,17,18,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",1.011240,0.628490,0.628490,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.628,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.628,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.628,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.628,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.628,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.628,0.000,0.000,
16,16,motorway,18,19,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",1.086160,0.675053,0.675053,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.675,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.675,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.675,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.675,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.675,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.675,0.000,0.000,
17,17,motorway,19,20,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",1.198560,0.744910,0.744910,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.745,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.745,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.745,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.745,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.745,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.745,0.000,0.000,
18,18,motorway,20,21,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",1.123630,0.698341,0.698341,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.698,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.698,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.698,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.698,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.698,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.698,0.000,0.000,
19,19,motorway,21,22,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",1.329690,0.826408,0.826408,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.826,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.826,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.826,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.826,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.826,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.826,0.000,0.000,
20,20,motorway,22,23,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",1.065000,0.661902,0.661902,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7,0.7,0.7,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.000,0.000,0.0000,0.662,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.662,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.662,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.662,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.662,0.000,0.000,0.0,0.0,6000.000,0.000,0.0000,0.662,0.000,0.000,
21,21,motorway,23,24,"LINESTRING (-112.1173400 33.6398700, -112.1025730 33.6399860)",1.369480,0.851137,0.851137,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.851,0.295,0.000,0.0,0.0,6000.000,0.000,0.0019,0.851,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.851,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.851,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.851,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.851,0.000,0.000,
22,22,motorway,24,25,"LINESTRING (-112.1025730 33.6399860, -112.0876300 33.6400890)",1.385800,0.861280,0.861280,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.861,0.298,0.000,0.0,0.0,6000.000,0.000,0.0019,0.861,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.861,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.861,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.861,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.861,0.000,0.000,
23,23,motorway,25,26,"LINESTRING (-112.0876300 33.6400890, -112.0724850 33.6401930)",1.404530,0.872921,0.872921,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.873,0.302,0.000,0.0,0.0,6000.000,0.000,0.0019,0.873,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.873,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.873,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.873,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.873,0.000,0.000,
24,24,motorway,26,27,"LINESTRING (-112.0724850 33.6401930, -112.0599650 33.6402790)",1.161080,0.721616,0.721616,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.722,0.250,0.000,0.0,0.0,6000.000,0.000,0.0019,0.722,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.722,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.722,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.722,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.722,0.000,0.000,
25,25,motorway,27,28,"LINESTRING (-112.0599650 33.6402790, -112.0464350 33.6403720)",1.254750,0.779832,0.779832,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.8,0.8,0.8,0.8,0.8,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.780,0.270,0.000,0.0,0.0,6000.000,0.000,0.0019,0.780,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.780,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.780,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.780,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.780,0.000,0.000,
26,26,motorway,28,29,"LINESTRING (-112.0464350 33.6403720, -112.0388420 33.6465680)",0.983710,0.611380,0.611380,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.6,0.6,0.6,0.6,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.611,0.212,0.000,0.0,0.0,6000.000,0.000,0.0019,0.611,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.611,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.611,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.611,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.611,0.000,0.000,
27,27,motorway,29,2,"LINESTRING (-112.0388420 33.6465680, -112.0298670 33.6552860)",1.275470,0.792710,0.792710,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,3.0,motorway,96.5,1800.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5400.0,6000.0,6000.0,6000.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.8,0.8,0.8,0.8,0.8,0.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5400.000,0.000,0.0019,0.793,0.275,0.000,0.0,0.0,6000.000,0.000,0.0019,0.793,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.793,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.793,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.793,0.000,0.000,0.0,0.0,6000.000,0.000,0.0019,0.793,0.000,0.000,
28,28,motorway,12,2,"LINESTRING (-112.0386420 33.6623000, -112.0298670 33.6552860)",1.125470,0.699484,0.699484,96.540000,36.540000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,4.0,motorway,96.5,1800.0,4.0,4.0,4.0,4.0,4.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,7200.0,8000.0,8000.0,8000.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,0.7,0.7,0.7,0.7,0.7,0.7,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,7200.000,0.000,0.1000,0.699,17.447,0.005,0.0,0.0,8000.000,0.000,0.1000,0.699,0.000,0.000,0.0,0.0,8000.000,0.000,0.1000,0.699,0.000,0.000,0.0,0.0,8000.000,0.000,0.1000,0.699,0.000,0.000,0.0,0.0,8000.000,0.000,0.1000,0.699,0.000,0.000,0.0,0.0,8000.000,0.000,0.1000,0.699,0.000,0.000,
29,29,motorway,1,30,"LINESTRING (-112.2164130 33.6539160, -112.1885870 33.6541820)",2.580210,1.603611,3.207222,48.270000,-11.730000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,48.3,1800.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2,3.2,3.2,3.2,3.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.000,0.000,0.0000,3.207,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.207,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.207,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.207,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.207,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.207,0.000,0.000,
30,30,motorway,30,31,"LINESTRING (-112.1885870 33.6541820, -112.1615280 33.6543680)",2.509000,1.559354,3.118707,48.270000,-11.730000,900.000000,-1100.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,48.3,900.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1,3.1,3.1,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.000,0.000,0.0000,3.119,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.119,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.119,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.119,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.119,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,3.119,0.000,0.000,
31,31,motorway,31,32,"LINESTRING (-112.1615280 33.6543680, -112.1364880 33.6545410)",2.321790,1.443002,2.886004,48.270000,-11.730000,1800.000000,-200.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,48.3,1800.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9,2.9,2.9,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.000,0.000,0.0000,2.886,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.886,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.886,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.886,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.886,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.886,0.000,0.000,
32,32,motorway,32,33,"LINESTRING (-112.1364880 33.6545410, -112.1150400 33.6546770)",1.988710,1.235991,2.471983,48.270000,-11.730000,900.000000,-1100.000000,-1,,network_wide,-1,0,-1,-1,2.0,motorway,48.3,900.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5,2.5,2.5,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.000,0.000,0.0000,2.472,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.472,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.472,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.472,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.472,0.000,0.000,0.0,0.0,4000.000,0.000,0.0000,2.472,0.000,0.000,
