first_column,agent_id,o_zone_id,d_zone_id,route_seq_id,path_no,impacted_flag,info_receiving_flag,diverted_flag,mode_type_no,mode_type,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence,geometry
0,0,1,2,1,0,0,0,0,1,auto,am,1,0,425.0000,420.0000,18.6107,11.5666,2.6587,1.6524,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0705:06.000;0706:18.750;0707:29.249;0708:37.000;0709:54.499;0711:05.000;0712:21.749;0713:25.250;0714:25.250;0659:59.749;0659:59.749;0659:59.749;,
0,1,1,2,1,0,0,0,0,1,auto,am,1,0,425.8693,419.1307,18.6107,11.5666,2.6642,1.6558,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0705:58.000;0707:10.750;0708:21.249;0709:29.000;0710:46.499;0711:57.000;0713:13.749;0714:17.250;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,2,1,2,1,0,0,0,0,1,auto,am,1,0,426.7385,418.2615,18.6107,11.5666,2.6697,1.6592,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0706:50.249;0708:03.000;0709:13.500;0710:21.249;0711:38.750;0712:49.249;0714:06.000;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,3,1,2,1,0,0,0,0,1,auto,am,1,0,427.5578,417.4422,18.6107,11.5666,2.6750,1.6625,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0707:39.250;0708:52.000;0710:02.499;0711:10.250;0712:27.749;0713:38.250;0714:55.000;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,4,1,2,1,0,0,0,0,1,auto,am,1,0,428.4271,416.5729,18.6107,11.5666,2.6805,1.6660,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0708:31.499;0709:44.249;0710:54.750;0712:02.499;0713:20.000;0714:30.499;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,5,1,2,1,0,0,0,0,1,auto,am,1,0,429.2964,415.7036,18.6107,11.5666,2.6861,1.6695,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0709:23.750;0710:36.500;0711:47.000;0712:54.750;0714:12.249;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,6,1,2,1,0,0,0,0,1,auto,am,1,0,430.1156,414.8844,18.6107,11.5666,2.6915,1.6727,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0710:12.749;0711:25.499;0712:36.000;0713:43.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,7,1,2,1,0,0,0,0,1,auto,am,1,0,430.9849,414.0151,18.6107,11.5666,2.6971,1.6763,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0711:05.000;0712:17.750;0713:28.249;0714:36.000;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,8,1,2,1,0,0,0,0,1,auto,am,1,0,431.8542,413.1458,18.6107,11.5666,2.7028,1.6798,-0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0711:57.000;0713:09.750;0714:20.249;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,9,1,2,1,0,0,0,0,1,auto,am,1,0,432.6734,412.3266,18.6107,11.5666,2.7081,1.6831,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0712:46.250;0713:59.000;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,10,1,2,1,0,0,0,0,1,auto,am,1,0,433.5427,411.4573,18.6107,11.5666,2.7139,1.6867,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0713:38.499;0714:51.249;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,11,1,2,1,0,0,0,0,1,auto,am,1,0,434.4120,410.5880,18.6107,11.5666,2.7196,1.6903,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0714:30.499;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,12,1,2,1,0,0,0,0,1,auto,am,1,0,435.2312,409.7688,18.6107,11.5666,2.7251,1.6936,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,13,1,2,1,0,0,0,0,1,auto,am,1,0,436.1005,408.8995,18.6107,11.5666,2.7308,1.6972,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,14,1,2,1,0,0,0,0,1,auto,am,1,0,436.9698,408.0302,18.6107,11.5666,2.7367,1.7008,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,15,1,2,1,0,0,0,0,1,auto,am,1,0,437.7891,407.2109,18.6107,11.5666,2.7422,1.7043,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,16,1,2,1,0,0,0,0,1,auto,am,1,0,438.6583,406.3417,18.6107,11.5666,2.7480,1.7079,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,17,1,2,1,0,0,0,0,1,auto,am,1,0,439.5276,405.4724,18.6107,11.5666,2.7539,1.7116,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,18,1,2,1,0,0,0,0,1,auto,am,1,0,440.3405,404.6595,18.6107,11.5666,2.7595,1.7150,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,19,1,2,1,0,0,0,0,1,auto,am,1,0,441.1942,403.8058,18.6107,11.5666,2.7653,1.7186,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
0,20,1,2,1,0,0,0,0,1,auto,am,1,0,442.0479,402.9521,18.6107,11.5666,2.7712,1.7223,0.0,0.0,,1;3;4;5;6;7;8;9;10;11;12;2;,0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;0659:59.749;,
