first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_travel_delay_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_travel_delay_in_min,avg_speed_kmph,avg_speed_mph,avg_co2_kg,avg_nox_kg,
0,0,2025,am,auto,75,4,1363.53,847.438,847.259,0.0652272,293.505,0.0781567,18.1804,11.2992,11.2968,0.000869696,96.5603,60.0126,3.91341,0.00104209,
0,0,2025,am,hov2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2025,am,hov3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2025,am,trk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2025,am,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2025,am,apv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
